gapdH  1 1020 cw
ptsN   1216445 1216939 ccw
pmbA   1219460 1220815 cw
hpt    1221026 1221565 cw
nrdG   1223293 1223760 ccw
cydC   1224008 1225738 ccw
cydD   1225738 1227498 ccw
trxB   1227570 1228526 ccw
hemH   1229538 1230509 ccw
ompA   1235300 1236361 cw
hisH   1236912 1238012 ccw
serC   1238100 1239188 ccw
trpG   1241358 1241939 cw
metX   1242024 1243178 cw
sprT   1243517 1243987 cw
artM   1245168 1245851 ccw
artQ   1245851 1246516 ccw
artI   1246520 1247239 ccw
artP   1247257 1247988 ccw
gmhA   1248115 1248699 ccw
dppF   1249740 1250723 ccw
dppD   1250726 1251718 ccw
dppC   1251728 1252615 ccw
dppB   1252630 1253601 ccw
uvrD   1253721 1255904 ccw
ilvE   1258602 1259633 ccw
gcvA   1260107 1261000 cw
sucC   1262120 1263289 cw
sucD   1263289 1264170 cw
cysB   1266046 1267017 cw
pta    1268730 1270865 ccw
ackA   1270933 1272138 ccw
cvpA   1272883 1273374 cw
purF   1273385 1274902 cw
argR   1275847 1276302 ccw
mdh    1276509 1277444 cw
lysS   1277529 1279037 ccw
dsbC   1280419 1281108 cw
recJ   1281397 1283124 cw
dsbA   1283129 1283824 cw
pfs    1283821 1284510 cw
lctP   1287583 1289181 ccw
cmk    1289455 1290156 cw
rpsA   1290232 1291881 cw
ihfB   1292004 1292288 cw
pyrF   1293870 1294562 cw
uraA   1295679 1296923 ccw
upp    1297028 1297654 ccw
dnaX   1297778 1299844 ccw
apt    1299856 1300398 ccw
lpdA   1300546 1301982 ccw
aceF   1302096 1303799 ccw
aceE   1303862 1306522 ccw
mgsA   1306822 1307280 cw
dnaK   1309143 1311050 cw
dnaJ   1311101 1312285 cw
proA   1312364 1313617 ccw
bcr    1315230 1316426 ccw
rsuA   1316428 1317126 ccw
uvrB   1322489 1324528 ccw
vapA   1327374 1327697 cw
mfd    1332179 1335619 cw
accD   1337266 1338156 cw
folC   1338149 1339462 cw
sanA   1339750 1340430 ccw
metX   1340588 1341664 cw
gyrA   1341718 1344360 ccw
tehB   1350885 1351745 ccw
metG   1351858 1353906 ccw
mrp    1354057 1355169 cw
neuA   1355983 1356669 cw
nusA   1359127 1360614 cw
infB   1360626 1363115 cw
hsdR   1363194 1366361 ccw
hsdS   1366453 1367832 ccw
hsdM   1367825 1369555 ccw
rbfA   1369671 1370057 cw
truB   1370057 1370995 cw
tyrA   1371055 1372188 cw
queF   1372221 1373060 ccw
asnC   1381581 1382984 ccw
ribH   1383210 1383683 cw
nusB   1383687 1384121 cw
thiL   1384138 1385175 cw
pgpA   1385172 1385663 cw
dapB   1386309 1387121 cw
pheS   1388299 1389288 cw
pheT   1389322 1391709 cw
ihfA   1391711 1392001 cw
nlpC   1392054 1392539 cw
infC   1395025 1395567 cw
rpmI   1395778 1395975 cw
rplT   1396042 1396395 cw
recB   1396508 1400143 cw
recD   1400143 1402065 cw
fabA   1404651 1405184 cw
rpsO   1406416 1406685 cw
dacB   1407457 1408896 ccw
greA   1409060 1409536 cw
yhbY   1409575 1409874 ccw
rrmJ   1410001 1410630 cw
ftsH   1410721 1412628 cw
folP-1 1412740 1413567 cw
glmM   1413605 1414942 cw
potD   1420203 1421342 ccw
potC   1421415 1422158 ccw
potB   1422184 1423044 ccw
potA   1423028 1424176 ccw
pepT   1424442 1425680 cw
cdd    1427000 1427878 cw
putP   1428883 1430397 ccw
cafA   1430513 1431988 cw
glnS   1432408 1434081 cw
malQ   1434673 1436772 cw
glgB   1436782 1438974 cw
glgX   1439070 1441049 cw
glgC   1441039 1442373 cw
glgA   1442481 1443911 cw
pntA   1446884 1448422 cw
pntB   1448433 1449857 cw
topA   1450937 1453543 cw
acpD   1453619 1454203 ccw
thrS   1454488 1456419 cw
mopI   1461985 1462194 ccw
kicB   1463724 1465058 cw
kicA   1465105 1465836 cw
mukB   1465836 1470368 cw
sbcB   1472238 1473659 cw
phoR   1474350 1475627 ccw
phoB   1475624 1476319 ccw
pstA   1477192 1478040 ccw
pstC   1478042 1478989 ccw
pstS   1479080 1480083 ccw
rsgA   1480540 1481088 cw
rsgA   1481104 1481601 cw
trpE   1482527 1484083 cw
trpG   1484096 1484677 cw
trpD   1485165 1486166 cw
trpC   1486203 1487636 cw
valS   1488004 1490868 ccw
hindIIIM 1490869 1491798 ccw
hindIIIR 1491779 1492681 ccw
holC   1493865 1494299 ccw
fumC   1494534 1495928 cw
pyrD   1497587 1498606 ccw
yhxB   1499075 1499623 ccw
fnr    1513584 1514357 cw
purN   1516528 1517166 ccw
purM   1517221 1518255 ccw
trpB   1519210 1520403 cw
trpA   1520403 1521209 cw
usg1   1521347 1522300 ccw
ybaK   1522359 1522835 cw
cspD   1522992 1523210 ccw
xseB   1526178 1526432 cw
ispA   1526432 1527319 cw
dxs    1527361 1529238 cw
sspB   1529274 1529726 ccw
sspA   1529726 1530364 ccw
rpsI   1530545 1530937 ccw
rplM   1530954 1531382 ccw
metF   1531846 1532724 cw
bioD   1532813 1533541 ccw
folE   1533971 1534627 ccw
moeA   1534765 1535979 cw
moeB   1535983 1536714 cw
purL   1537997 1538467 ccw
msrA   1539162 1540223 ccw
glmM   1546666 1548003 ccw
folP-2 1548041 1548868 ccw
rpsO   1554431 1554700 ccw
modD   1557918 1558763 ccw
ner    1560908 1561177 cw
muA    1561211 1563274 cw
muB    1564040 1564903 cw
gam    1565296 1565805 cw
muN    1585612 1586979 cw
rfaE   1595752 1597182 ccw
htrB   1597279 1598214 cw
parE   1598288 1600186 cw
parC   1600253 1602496 cw
gltS   1602538 1603752 cw
rimK   1603791 1604699 ccw
grxA   1604816 1605079 cw
fabB   1605146 1606366 ccw
licA   1608779 1609582 cw
licB   1609582 1610460 cw
licC   1610457 1611158 cw
licD   1611158 1611955 cw
sppA   1611993 1613840 ccw
aroG   1617863 1618951 ccw
bioD   1621249 1621824 ccw
bioF   1623261 1624403 ccw
bioA   1624412 1625704 ccw
kdsA   1627911 1628765 ccw
hemK   1629583 1630461 ccw
prfA   1630954 1632039 ccw
ftsN   1638281 1638562 cw
pykA   1640231 1641667 cw
dnaB   1641701 1643215 cw
alr    1643225 1644307 cw
pgi    1644404 1646053 cw
lpp    1647855 1648322 ccw
argS   1649296 1651029 cw
ilvH   1651322 1651813 ccw
ilvI   1651813 1653534 ccw
hns    1655764 1656168 cw
purU   1656238 1657074 cw
aroA   1657074 1658372 cw
lolA   1659855 1660472 ccw
lrp    1663261 1663740 ccw
radA   1663820 1665196 ccw
cca    1672031 1673281 cw
lolB   1673344 1673973 cw
ipk    1673985 1674926 cw
prsA   1674928 1675875 cw
tyrS   1675939 1677144 ccw
sfsA   1677345 1678061 ccw
ribE   1679508 1680122 cw
pepN   1680194 1682803 ccw
purE   1682964 1683458 cw
purK   1683528 1684616 cw
aspC   1684755 1685945 cw
merR2  1689315 1689722 cw
rpL25  1692761 1693048 cw
purA   1695070 1696368 cw
dapD   1696425 1697252 ccw
purR   1697611 1698621 cw
ppc    1698804 1701443 cw
sapA   1702962 1704659 cw
sapB   1704659 1705624 cw
sapC   1705614 1706501 cw
sapD   1706505 1707554 cw
sapF   1707554 1708363 cw
truA   1709483 1710292 ccw
fbp    1710526 1711527 cw
cmk    1711446 1712114 ccw
dld    1714591 1716285 ccw
spr    1717800 1718351 ccw
tldD   1718464 1719911 ccw
nrdA   1724512 1726782 cw
nrdB   1726924 1728054 cw
sucB   1728170 1729399 ccw
sucA   1729502 1732309 ccw
prc    1736085 1738172 ccw
moaE   1742949 1743401 ccw
moaD   1743402 1743647 ccw
moaC   1743649 1744131 ccw
moaA   1744223 1745236 ccw
kpsF   1746889 1747902 cw
yrbI   1747912 1748454 cw
sohB   1751639 1752700 cw
rnfD   1756694 1757770 cw
rnfG   1757770 1758393 cw
nth    1759287 1759922 cw
modC   1761377 1762432 ccw
modB   1762419 1763108 ccw
modA   1763282 1764046 ccw
modE   1764184 1764951 cw
metE   1771825 1774095 ccw
pepA   1776574 1778049 cw
betT   1778085 1780028 ccw
ygiY   1780389 1781744 ccw
ygiX   1781741 1782406 ccw
crr    1783344 1783844 ccw
ptsI   1783904 1785631 ccw
ptsH   1785711 1785968 ccw
glnD   1790425 1793016 ccw
map    1794525 1795331 ccw
ponB   1796173 1798518 cw
hemH   1798691 1799563 cw
argG   1799719 1801053 cw
rnb    1809214 1811193 ccw
fabI   1811276 1812064 ccw
prfC   1812243 1813826 cw
metR   1815308 1816237 ccw
lldD   1822365 1823510 ccw
murI   1823722 1824531 ccw
recG   1824561 1826642 ccw
spoT   1826639 1828753 ccw
rpoZ   1828933 1829199 ccw
gmk    1829262 1829888 ccw
