aadA   1346596 1347384 1
atpD   4074111 4075493 -1
atpE   4079066 4079305 -1
atpF   4078536 4079006 -1
atpG   4075520 4076383 -1
atpH   4077988 4078521 -1
atpI   4080176 4080556 -1
avrA   3009898 3010806 -1
avtA   3852732 3853982 1
b2145  2280943 2281188 1
bacA   3370567 3371391 -1
baeR   2224537 2225259 1
baeS   2223137 2224540 1
barA   3106519 3109275 1
basR   4533719 4534387 -1
basS   4532639 4533709 -1
bax    3849391 3850215 -1
bcfA   24469 25011 1
bcfB   25112 25798 1
bcfC   25803 28424 1
bcfD   28425 29432 1
bcfE   29433 29978 1
bcfF   29994 30512 1
bcfG   30478 31209 1
bcfH   31274 32119 1
bcp    2605639 2606109 1
bcr    2322483 2323673 -1
bcsC   3797418 3798527 -1
bfd    3597923 3598117 -1
bfr    3597374 3597850 -1
bglA   3209307 3210740 1
bglJ   4806803 4807477 1
bglX   2261173 2263470 -1
bigA   3629167 3635028 1
bioA   858794 860083 -1
bioB   860170 861210 1
bioC   862348 863103 1
bioD   863096 863782 1
bioF   861207 862364 1
bioH   3667888 3668658 -1
birA   4357697 4358659 1
bisC   3830320 3832653 -1
blc    4581834 4582367 -1
bolA   501001 501318 1
brnQ   453258 454577 1
btuB   4348110 4349954 1
btuC   1419571 1420551 1
btuD   1421194 1421943 1
btuE   1420643 1421194 1
btuF   241269 242069 -1
btuR   1815127 1815717 1
cadA   2699950 2702094 1
cadB   2698536 2699867 1
cadC   2696631 2698175 1
cafA   3539847 3541316 -1
caiA   85509 86651 -1
caiB   84180 85397 -1
caiC   82564 84117 -1
caiD   81725 82510 -1
caiE   81020 81616 -1
caiF   80548 80943 1
caiT   86686 88203 -1
carA   75880 77028 1
carB   77047 80274 1
cbiA   2112422 2113801 -1
cbiC   2110823 2111455 -1
cbiD   2109684 2110823 -1
cbiE   2109085 2109690 -1
cbiF   2107760 2108533 -1
cbiG   2106724 2107779 -1
cbiH   2105999 2106724 -1
cbiJ   2105211 2106002 -1
cbiK   2104414 2105208 -1
cbiL   2103704 2104417 -1
cbiM   2102970 2103707 -1
cbiN   2102687 2102968 -1
cbiO   2101199 2102014 -1
cbiP   2099682 2101202 -1
cbiT   2108517 2109095 -1
cboQ   2102023 2102700 -1
cbpA   1198999 1199919 -1
cca    3369221 3370462 1
ccmA   2353045 2353662 -1
ccmA   4017973 4018590 -1
ccmB   2352389 2353048 -1
ccmB   4017317 4017976 -1
ccmC   2351600 2352337 -1
ccmC   4016528 4017265 -1
ccmD   2351391 2351603 -1
ccmD   4016319 4016531 -1
ccmE   2350915 2351394 -1
ccmE   4015843 4016322 -1
ccmF   2348987 2350918 -1
ccmF   4013915 4015846 -1
ccmG   2348433 2348990 -1
ccmG   4013361 4013918 -1
ccmH   2347393 2348436 -1
ccmH   4012321 4013364 -1
cdaR   246072 247229 1
cdd    2279166 2280050 1
cdsA   260126 260983 1
cedA   1399731 1399973 1
celA   1391807 1392127 1
celB   1392210 1393568 1
celC   1393619 1393966 1
celD   1393977 1394819 1
celF   1394944 1396299 1
celG   1396312 1397070 1
cfa    1504235 1505383 -1
chaA   1869253 1870353 1
chaB   1868756 1868986 -1
cheA   2017178 2019193 -1
cheB   2012690 2013739 -1
cheM   2014756 2016417 -1
cheR   2013736 2014602 -1
cheW   2016654 2017157 -1
cheY   2012283 2012672 -1
cheZ   2011628 2012272 -1
cibB   2111466 2112425 -1
cigR   3960748 3961227 -1
cirA   2296551 2298542 -1
citA   751371 752675 -1
citB   752726 753865 -1
citC   686566 687642 -1
citC2  68637 69680 1
citD   686273 686569 -1
citD2  69710 70003 1
citE   685368 686276 -1
citE2  70000 70869 1
citF   683829 685358 -1
citF2  70880 72400 1
citG   682406 683302 -1
citG2  72929 73837 1
citT   680905 682368 -1
citX   683274 683825 -1
citX2  72400 72951 1
clpA   1022698 1024974 1
clpB   2802116 2804689 -1
clpP   503210 503833 1
clpX   504085 505356 1
cls    1832868 1834328 1
cmk    1064994 1065677 1
coaA   4358694 4359644 -1
cobB   1306775 1307596 1
cobC   705072 705680 -1
cobD   705777 706871 1
cobS   2098400 2099143 -1
cobT   2097303 2098373 -1
cobU   2099140 2099685 -1
cof    514231 515049 1
copA   557945 560446 -1
copR   1183637 1184383 -1
copS   1182280 1183644 -1
corA   4158175 4159125 1
corE   2818729 2819520 1
cpdB   4639560 4641503 -1
cpsG   2187020 2188390 -1
cpxA   4268376 4269749 -1
cpxP   4270595 4271095 1
cpxR   4269746 4270444 -1
crcB   693182 693565 -1
creA   4843747 4844220 1
creB   4844233 4844922 1
creC   4844922 4846346 1
creD   4846404 4847753 1
crl    364528 364929 1
crp    3615645 3616277 1
crr    2546660 2547169 1
csdA   3135956 3137161 1
csgA   1231630 1232085 1
csgB   1231133 1231588 1
csgC   1232147 1232473 1
csgD   1229728 1230378 -1
csgE   1229328 1229723 -1
csgF   1228885 1229301 -1
csgG   1228025 1228858 -1
csiE   2691074 2692351 1
cspA   3836439 3836651 1
cspB   2079225 2079437 -1
cspC   1935547 1935756 -1
cspD   1021802 1022023 -1
cspE   692915 693124 1
csrA   2970951 2971136 -1
cstA   661274 663379 1
cueO   196532 198142 1
cueR   560556 560972 1
cutA   4569061 4569408 -1
cutC   2001025 2001771 -1
cvpA   2475891 2476379 -1
cyaA   4146367 4148913 1
cyaY   4150547 4150867 -1
cybB   1729823 1730353 -1
cybC   4683278 4683664 1
cycA   4634848 4636257 1
cydA   809529 811097 1
cydB   811113 812252 1
cydC   1031626 1033347 -1
cydD   1033348 1035114 -1
cyoA   497191 498147 -1
cyoB   495189 497180 -1
cyoC   494585 495199 -1
cyoD   494256 494585 -1
cyoE   493354 494244 -1
cypD   508668 510539 1
cysA   2552630 2553727 -1
cysB   1808407 1809381 -1
cysC   3072350 3072955 -1
cysD   3074391 3075299 -1
cysE   3894118 3894939 -1
cysG   3627468 3628841 1
cysH   3088189 3088923 -1
cysI   3088999 3090711 -1
cysJ   3090711 3092510 -1
cysK   2543231 2544202 1
cysM   2551651 2552562 -1
cysN   3072942 3074381 -1
cysP   2555425 2556441 -1
cysQ   4641771 4642511 1
cysS   599135 600520 1
cysU   2554592 2555425 -1
cysW   2553717 2554592 -1
cysZ   2542306 2543067 1
cytR   4302181 4303206 -1
dacA   698401 699612 -1
dacB   3468654 3470087 1
dacC   935497 936699 1
dacD   2136025 2137197 -1
dadA   1902689 1903987 -1
dadX   1901605 1902675 -1
dam    3638690 3639526 -1
damX   3639707 3640984 -1
dapA   2604043 2604921 -1
dapB   74017 74838 1
dapD   249289 250113 -1
dapE   2597694 2598821 1
dapF   4152259 4153086 1
dbpA   1748288 1749661 -1
dcd    2206886 2207467 -1
dcm    2074329 2075759 -1
dcoB   831919 833220 1
dcoC   829868 830113 1
dcp    1589687 1591729 1
dctA   3790270 3791556 -1
dcuA   4569529 4570830 -1
dcuB   4547107 4548447 -1
dcuC   690391 691776 -1
dcuR   4549177 4549896 -1
dcuS   4549893 4551524 -1
ddg    2514561 2515481 1
ddlA   433543 434637 -1
ddlB   152611 153531 1
deaD   3446185 3448125 -1
dedA   2479754 2480413 -1
dedD   2476690 2477364 -1
def    3576936 3577445 1
degQ   3515417 3516784 1
degS   3516877 3517947 1
deoA   4822334 4823656 1
deoB   4823708 4824931 1
deoC   4821413 4822210 1
deoD   4825141 4825860 1
deoR   936744 937502 -1
dfp    3923518 3924741 1
dgkA   4458772 4459140 1
dgoA   4030635 4031783 -1
dgoK   4032380 4033258 -1
dgoR   4033255 4033944 -1
dgoT   4029213 4030550 -1
dgt    242845 244362 1
dinF   4460035 4461360 1
dinG   887158 889302 1
dinI   1248196 1248441 -1
dinP   357800 358855 1
djlA   108424 109236 1
dksA   216398 216853 -1
dld    2263737 2265467 1
dlhH   4173793 4174605 -1
dmsA   1045321 1047765 1
dmsB   1047776 1048393 1
dmsC   1048395 1049258 1
dnaA   4043624 4045024 -1
dnaB   4466591 4468006 1
dnaC   4802792 4803529 -1
dnaE   269548 273030 1
dnaG   3374506 3376251 1
dnaJ   13595 14734 1
dnaK   11593 13509 1
dnaN   4042519 4043619 -1
dnaQ   303402 304133 1
dnaT   4803532 4804071 -1
dnaX   540907 542835 1
dniR   299923 301290 -1
dpiA   689657 690337 1
dpiB   688027 689688 1
dppA   3814422 3816029 -1
dppB   3813246 3814265 -1
dppC   3812334 3813236 -1
dppD   3811340 3812323 -1
dppF   3810330 3811343 -1
dps    897487 897990 -1
dsbA   4204199 4204822 1
dsbB   1908514 1909044 1
dsbC   3203688 3204401 -1
dsbD   4567382 4569085 -1
dsbG   669262 670008 -1
dsdA   4004453 4005775 1
dsdC   4001949 4002872 -1
dsdX   4003098 4004435 1
dut    3924722 3925177 1
dxr    257846 259042 1
dxs    474630 476492 -1
ecnA   4580195 4580371 1
ecnB   4580479 4580625 1
ecnR   4580656 4581243 -1
eco    2360059 2360553 1
eda    1976942 1977583 -1
edd    1977621 1979432 -1
efp    4579610 4580176 1
ego    4283501 4285036 1
elaA   2419138 2419599 -1
elaB   2418778 2419089 -1
elaC   2419660 2420577 1
emrA   2961778 2962950 1
emrB   2962967 2964505 1
emrD   3999689 4000873 1
emrR   2961121 2961651 1
emtA   1898016 1898627 -1
endA   3255404 3256111 1
engA   2651457 2652929 -1
eno    3097364 3098662 -1
entA   659921 660676 1
entB   659064 659921 1
entC   656255 657430 1
entD   640808 641512 -1
entE   657440 659050 1
entF   645462 649346 1
envE   1329896 1330417 -1
envF   1328189 1328977 -1
envR   3560028 3560690 -1
envZ   3658257 3659609 -1
epd    3231877 3232923 -1
era    2723925 2724830 -1
erfK   2096296 2097225 -1
eutA   2568624 2570027 -1
eutB   2567251 2568612 -1
eutC   2566336 2567232 -1
eutD   2575543 2576559 -1
eutE   2573397 2574800 -1
eutG   2571370 2572557 -1
eutH   2570024 2571250 -1
eutJ   2572547 2573386 -1
eutK   2565160 2565654 -1
eutL   2565667 2566326 -1
eutM   2575212 2575502 -1
eutN   2574812 2575111 -1
eutP   2578023 2578502 -1
eutQ   2577356 2578045 -1
eutR   2564060 2565112 -1
eutS   2578515 2578850 -1
eutT   2576556 2577359 -1
exbB   3320009 3320743 -1
exbD   3319577 3320002 -1
exo    3123597 3124412 1
exoX   1971072 1971770 1
fabA   1157908 1158426 -1
fabB   2488622 2489836 -1
fabD   1278281 1279210 1
fabF   1280435 1281676 1
fabG   1279223 1279957 1
fabH   1277312 1278265 1
fabI   1792136 1792924 1
fabZ   266536 266991 1
fadA   4188137 4189300 -1
fadB   4189310 4191499 -1
fadD   1915222 1916907 -1
fadH   3386255 3388273 1
fadL   2502389 2503702 1
fadR   1905889 1906608 -1
fba    3229511 3230590 -1
fbaB   2234965 2236017 -1
fbp    4655498 4656496 -1
fdhD   4248003 4248839 1
fdhE   4242285 4243214 -1
fdhF   4525350 4527497 -1
fdnG   1650442 1653489 -1
fdnH   1649544 1650428 -1
fdnI   1648895 1649551 -1
fdoG   4244758 4247808 -1
fdoH   4243843 4244745 -1
fdoI   4243211 4243846 -1
fdrA   591360 593024 1
fdx    2677860 2678195 -1
feoA   3663890 3664117 1
feoB   3664136 3666454 1
fepA   641558 643813 -1
fepB   654990 655946 -1
fepC   650785 651579 -1
fepD   652565 653572 -1
fepE   649596 650732 1
fepG   651576 652565 -1
fes    644002 645216 1
ffh    2817202 2818563 -1
fhlA   3003702 3005780 1
fhuA   223738 225927 1
fhuB   227660 229717 1
fhuC   225976 226773 1
fhuD   226773 227663 1
fhuE   1287887 1290061 -1
fhuF   4808137 4808925 -1
fic    3620354 3620956 -1
fidL   3957723 3958187 -1
fimA   604115 604672 1
fimC   605325 606017 1
fimD   606048 608660 1
fimF   609692 610210 1
fimH   608675 609682 1
fimI   604748 605281 1
fimW   612706 613302 -1
fimY   611492 612214 -1
fimZ   610256 610888 -1
fis    3556262 3556558 1
fixA   88684 89454 1
fixB   89470 90411 1
fixC   90461 91747 1
fixX   91744 92031 1
fklB   4633890 4634552 1
fkpA   3604871 3605689 -1
fldA   757128 757658 -1
fldB   3205434 3205955 1
flgA   1257431 1258090 -1
flgB   1258247 1258663 1
flgC   1258667 1259071 1
flgD   1259083 1259781 1
flgE   1259808 1261019 1
flgF   1261040 1261795 1
flgG   1261809 1262591 1
flgH   1262646 1263344 1
flgI   1263356 1264453 1
flgJ   1264453 1265403 1
flgK   1265468 1267129 1
flgL   1267144 1268097 1
flgM   1257046 1257339 -1
flgN   1256619 1257041 -1
flhA   2008212 2010290 -1
flhB   2010283 2011434 -1
flhC   2021136 2021720 -1
flhD   2021717 2022067 -1
flhE   2007820 2008212 -1
fliA   2044747 2045466 -1
fliB   2046374 2047579 -1
fliC   2047658 2049145 -1
fliD   2049402 2050805 1
fliE   2056008 2056322 -1
fliF   2056539 2058221 1
fliG   2058214 2059209 1
fliH   2059202 2059909 1
fliI   2059909 2061279 1
fliJ   2061301 2061744 1
fliK   2061741 2062958 1
fliL   2063063 2063530 1
fliM   2063535 2064539 1
fliN   2064536 2064949 1
fliO   2064949 2065326 1
fliP   2065326 2066063 1
fliQ   2066073 2066342 1
fliR   2066351 2067145 1
fliS   2050820 2051227 1
fliT   2051227 2051595 1
fliY   2043190 2043990 -1
fliZ   2044137 2044688 -1
fljA   2912623 2913162 -1
fljB   2913230 2914750 -1
flk    2483595 2484596 1
fmt    3577461 3578408 1
fnr    1754332 1755126 1
focA   1057438 1058295 -1
folA   100839 101318 1
folB   3371486 3371848 -1
folC   2477354 2478622 -1
folD   602702 603568 -1
folE   2290444 2291112 -1
folK   213398 213877 -1
folP   3463737 3464585 -1
foxA   412663 414771 1
fpr    4292377 4293123 -1
frdA   4583982 4585772 -1
frdB   4583255 4583989 -1
frdC   4582849 4583244 -1
frdD   4582479 4582838 -1
frr    257148 257705 1
fruA   2303581 2305269 -1
fruF   2306224 2307354 -1
fruK   2305286 2306224 -1
fruR   138337 139341 1
frwB   4328395 4328715 1
frwC   4327301 4328380 1
frwD   4331957 4332310 1
fsr    552241 553461 -1
ftn    2029391 2029888 1
ftnB   2027240 2027743 1
ftsA   154360 155622 1
ftsE   3738075 3738743 -1
ftsI   141726 143492 1
ftsJ   3466728 3467354 -1
ftsK   1037371 1041426 1
ftsL   141345 141710 1
ftsN   4301113 4302087 -1
ftsQ   153533 154363 1
ftsW   148716 149960 1
ftsX   3737027 3738082 -1
ftsY   3738746 3740221 -1
ftsZ   155683 156834 1
fucA   3125669 3126316 -1
fucI   3128220 3129995 1
fucK   3130096 3131514 1
fucO   3124504 3125652 -1
fucR   3131996 3132706 1
fucU   3131516 3131938 1
fumA   1542187 1543929 1
fumB   4545365 4547011 -1
fumC   1544000 1545403 1
fur    756394 756846 -1
fusA   3599558 3601672 -1
fxsA   4572683 4573198 1
gabD   2940134 2941582 1
gabP   2943010 2944410 1
gabT   2941597 2942880 1
galE   840581 841597 -1
galF   2178957 2179850 -1
galK   838373 839521 -1
galM   837339 838379 -1
galP   3253339 3254733 1
galR   3170624 3171652 1
galS   2288115 2289137 -1
galT   839524 840570 -1
galU   1847828 1848736 -1
gapA   1368693 1369688 -1
garD   3418669 3420240 1
garK   3415210 3416355 -1
garL   3417369 3418139 -1
garR   3416453 3417343 -1
gcd    198220 200610 -1
gcl    577467 579248 1
gcp    3372814 3373827 -1
gcpE   2656256 2657374 -1
gcvA   3134272 3135189 -1
gcvH   3215173 3215562 -1
gcvP   3212137 3215010 -1
gcvR   2605001 2605639 1
gcvT   3215588 3216682 -1
gdhA   1378636 1379979 -1
ggt    3720462 3722204 -1
ghmA   355281 355859 1
gidA   4081898 4083787 -1
gidB   4081172 4081795 -1
gip    579261 580037 1
gldA   4322703 4323806 -1
glgA   3701379 3702812 -1
glgB   3706095 3708281 -1
glgC   3702812 3704107 -1
glgP   3698912 3701359 -1
glgS   3359314 3359523 -1
glgX   3704122 3706098 -1
glk    2517964 2518929 -1
glmS   4069035 4070864 -1
glmU   4071053 4072423 -1
glnA   4215599 4217008 -1
glnB   2703659 2703997 -1
glnD   250143 252815 -1
glnE   3364040 3366883 -1
glnG   4212857 4214266 -1
glnH   896264 897010 -1
glnK   520524 520862 1
glnL   4214275 4215324 -1
glnP   895461 896120 -1
glnQ   894742 895464 -1
glnS   747421 749088 1
gloA   1512450 1512857 -1
gloB   301362 302117 -1
glpA   2390236 2391864 1
glpB   2391854 2393113 1
glpC   2393110 2394300 1
glpD   3688731 3690239 1
glpE   3688206 3688532 -1
glpF   4295871 4296716 -1
glpG   3687300 3688130 -1
glpK   4294342 4295850 -1
glpQ   2387530 2388600 -1
glpR   3686448 3687206 -1
glpT   2388605 2389963 -1
glpX   4293220 4294230 -1
gltA   795954 797237 -1
gltB   3494523 3498983 1
gltD   3498993 3500411 1
gltI   728909 729835 -1
gltJ   728009 728749 -1
gltK   727335 728009 -1
gltL   726610 727335 -1
gltP   4523016 4524326 1
gltS   3939819 3941024 -1
gltX   2530163 2531578 -1
glxK   586699 587847 1
glxR   580138 581016 1
glyA   2693681 2694934 -1
glyQ   3841849 3842760 -1
glyS   3839770 3841839 -1
gmd    2192603 2193724 -1
gmk    3933098 3933721 1
gnd    2159361 2160767 -1
gntK   3711495 3712028 -1
gntR   3712167 3713162 -1
gntT   3670390 3671706 1
gntU   3710158 3711498 -1
gogB   2728976 2730469 1
gor    3768593 3769945 1
gph    3637244 3638002 -1
gpmA   836363 837115 -1
gpmB   4842022 4842669 1
gppA   4121827 4123308 -1
gpsA   3895017 3896036 -1
gpt    362679 363137 1
greA   3467930 3468406 -1
greB   3660551 3661024 1
grpE   2821587 2822177 -1
grxA   945074 945337 -1
grxB   1250351 1250998 -1
grxC   3896547 3896798 -1
gshA   2966935 2968491 -1
gshB   3256939 3257886 1
gsk    548997 550301 1
gsp    3302347 3304203 -1
gst    1525740 1526345 -1
guaA   2622805 2624382 -1
guaB   2624452 2625918 -1
guaC   164053 165096 1
gudD   3110539 3111879 -1
gudT   3113237 3114595 -1
gutM   2981080 2981439 1
gutQ   2982442 2983368 1
gyrA   2373711 2376347 -1
gyrB   4038855 4041269 -1
hcaT   2692346 2693485 -1
hcp    1012963 1014615 -1
hcr    1011983 1012954 -1
helD   1166434 1168488 1
hemA   1874454 1875710 -1
hemB   423678 424652 -1
hemC   4145049 4146005 -1
hemD   4144312 4145052 -1
hemE   4384145 4385209 1
hemF   2561205 2562104 1
hemG   4195136 4195681 1
hemH   546914 547876 1
hemK   1872498 1873331 -1
hemL   237211 238491 -1
hemN   4211171 4212544 1
hemX   4143121 4144290 -1
hemY   4141922 4143121 -1
hepA   110002 112908 -1
hflB   3464690 3466624 -1
hflC   4607713 4608717 1
hflK   4606451 4607710 1
hflX   4604955 4606235 1
hfq    4604575 4604883 1
hha    528131 528349 -1
hilA   3019856 3021517 1
hilC   3012107 3012994 -1
hilD   3017836 3018765 1
himA   1419069 1419368 1
himD   1067620 1067904 1
hin    2914842 2915414 1
hisA   2154651 2155388 1
hisB   2152994 2154061 1
hisC   2151918 2152997 1
hisD   2150617 2151921 1
hisF   2155370 2156146 1
hisG   2149615 2150514 1
hisH   2154058 2154651 1
hisI   2156140 2156751 1
hisJ   2464491 2465273 -1
hisM   2462918 2463625 -1
hisP   2462131 2462907 -1
hisQ   2463622 2464308 -1
hisS   2654871 2656145 -1
hlpA   264916 265401 1
hmpA   2695259 2696449 1
hnr    1848939 1849952 -1
hns    1847283 1847696 1
hofB   166319 167704 -1
hofC   165127 166329 -1
hofQ   3643213 3644451 -1
holA   707489 708520 -1
holB   1284262 1285266 1
holC   4719868 4720350 -1
holD   4812269 4812706 1
holE   1970054 1970284 1
hopD   3596910 3597377 1
hpaA   1195422 1196318 1
hpaB   1185726 1187288 -1
hpaC   1185196 1185708 -1
hpaD   1190975 1191826 1
hpaE   1189507 1190973 1
hpaF   1191836 1192216 1
hpaG   1188221 1189510 1
hpaH   1192359 1193162 1
hpaI   1193173 1193964 1
hpaR   1187506 1187946 -1
hpaX   1194036 1195412 1
hpt    200816 201352 1
hrpA   1731334 1735236 -1
hrpB   218309 220783 1
hscA   2678197 2680047 -1
hscB   2680060 2680575 -1
hscC   722533 724212 -1
hsdM   4779012 4780601 -1
hsdR   4780759 4784268 -1
hsdS   4777606 4779015 -1
hslJ   1741129 1741539 1
hslU   4299150 4300481 -1
hslV   4300491 4301021 -1
htgA   10092 10805 -1
htpG   543902 545800 1
htpX   1940059 1940940 -1
htrA   244492 245919 1
htrB   1242616 1243536 -1
hupA   4386709 4386981 1
hupB   508105 508377 1
hutC   854047 854772 1
hutG   853061 854002 1
hutH   856655 858175 1
hutI   851841 853064 1
hybA   3311655 3312641 -1
hybB   3310487 3311665 -1
hybC   3308787 3310490 -1
hybD   3308293 3308787 -1
hybE   3307812 3308300 -1
hybF   3307478 3307819 -1
hybG   3307202 3307450 -1
hycA   2999127 2999588 -1
hycB   2998373 2998981 -1
hycC   2996547 2998373 -1
hycD   2995621 2996544 -1
hycE   2993894 2995603 -1
hycF   2993342 2993884 -1
hycG   2992575 2993342 -1
hycH   2992168 2992578 -1
hycI   2991705 2992175 -1
hydG   4389839 4391164 1
hydH   4388436 4389833 1
hydN   2990123 2990668 -1
hypA   2999798 3000154 1
hypB   3000223 3001095 1
hypC   3001086 3001358 1
hypD   3001358 3002476 1
hypE   3002515 3003483 1
hypF   2987737 2989977 -1
hypO   3312644 3313762 -1
iacP   3024412 3024660 -1
iadA   4766093 4767265 -1
iagB   3021535 3022017 1
iap    3075550 3076596 1
ibpA   4009916 4010329 -1
ibpB   4009378 4009806 -1
icc    3346463 3347290 -1
icdA   1324385 1325635 1
iciA   3225590 3226483 1
iclR   4407211 4408035 -1
idi    3198598 3199143 1
idnD   4727963 4728994 -1
idnK   4729211 4729741 1
idnO   4727174 4727938 -1
idnR   4724731 4725729 -1
idnT   4725793 4727112 -1
ileS   53855 56689 1
ilvA   4113840 4115384 1
ilvB   3995917 3997605 -1
ilvC   4117377 4118852 1
ilvD   4111987 4113837 1
ilvE   4110897 4111826 1
ilvG   4108973 4110619 1
ilvH   137562 138053 1
ilvI   135898 137559 1
ilvL   4108735 4108833 1
ilvM   4110619 4110879 1
ilvN   3995623 3995913 -1
ilvY   4116326 4117213 -1
imp    105810 108170 -1
infA   1030347 1030565 -1
infB   3453610 3456288 -1
infC   1414242 1414676 1
invA   3038400 3040457 -1
invB   3037969 3038376 -1
invC   3036677 3037972 -1
invE   3040482 3041600 -1
invF   3043282 3043932 -1
invG   3041597 3043285 -1
invH   3044389 3044832 1
invI   3036256 3036699 -1
invJ   3035246 3036256 -1
ipk    1876644 1877495 1
iroB   2916377 2917492 1
iroC   2917573 2921226 1
iroD   2921336 2922580 1
iroE   2922612 2923547 1
iroN   2923589 2925769 -1
ispA   476516 477415 -1
ispB   3473347 3474318 1
ispD   3070745 3071455 -1
ispF   3070266 3070745 -1
ivbL   3997712 3997810 -1
katE   1397114 1399366 -1
katG   4319583 4321763 1
kbl    3903917 3905113 -1
kdgK   3787580 3788509 1
kdgR   1937671 1938462 -1
kdgT   190200 191153 1
kdpA   772356 774035 -1
kdpB   770287 772335 -1
kdpC   769694 770278 -1
kdpD   767013 769697 -1
kdpE   766339 767016 -1
kdsA   1870407 1871261 -1
kdsB   1074664 1075410 1
kdtA   3919338 3920615 1
kdtB   3920624 3921103 1
kduD   3177574 3178335 -1
kduI   3178392 3179228 -1
kefB   3607211 3609016 -1
kefC   98778 100640 1
kgtP   2794375 2795676 -1
ksgA   102663 103484 -1
kup    4089594 4091462 1
lamB   4452079 4453437 1
lasT   4856722 4857408 1
ldcC   276022 278163 1
ldhA   1740029 1741018 1
lepA   2726772 2728571 -1
lepB   2725781 2726755 -1
leuA   132167 133738 -1
leuB   131076 132167 -1
leuC   129673 131073 -1
leuD   129057 129662 -1
leuL   133826 133912 -1
leuO   134569 135513 1
leuS   709125 711707 -1
lexA   4459249 4459857 1
lgt    3158818 3159693 -1
lig    2539001 2541016 -1
ligT   217751 218281 -1
lipA   694862 695827 -1
lipB   697288 697863 -1
livF   3728654 3729367 -1
livG   3729369 3730136 -1
livH   3731407 3732333 -1
livJ   3734502 3735599 -1
livK   3732393 3733502 -1
livM   3730133 3731410 -1
lldD   3888337 3889527 1
