thrL   189 254 cw
ddlB   102232 103152 cw
ftsQ   103154 103984 cw
ftsA   103981 105243 cw
ftsZ   105304 106455 cw
lpxC   106556 107473 cw
secM   107704 108216 cw
secA   108278 110983 cw
mutT   111043 111432 cw
yacG   111648 111845 ccw
yacF   111855 112598 ccw
coaE   112598 113218 ccw
guaC   113443 114486 cw
hofC   114521 115723 ccw
hofB   115713 117098 ccw
ppdD   117108 117548 ccw
nadC   117751 118644 ccw
ampD   118732 119283 cw
ampE   119280 120134 cw
aroP   120177 121550 ccw
pdhR   122091 122855 cw
aceE   123016 125679 cw
aceF   125694 127586 cw
lpd    127911 129335 cw
yacH   129406 131259 ccw
acnB   131614 134211 cw
yacL   134387 134749 cw
speD   134787 135581 ccw
speE   135597 136463 ccw
yacC   136569 136916 ccw
cueO   137082 138632 cw
gcd    138834 141224 ccw
hpt    141430 141966 cw
can    142007 142669 ccw
yadG   142778 143704 cw
yadH   143701 144471 cw
yadI   144576 145016 cw
yadE   145080 146309 cw
panD   146313 146693 ccw
yadD   146967 147869 cw
panC   147943 148794 ccw
panB   148806 149600 ccw
yadC   149714 150952 ccw
yadK   151002 151598 ccw
yadL   151625 152230 ccw
yadM   152242 152811 ccw
htrE   152828 155425 ccw
ecpD   155460 156200 ccw
yadN   156298 156882 ccw
folK   157252 157731 ccw
pcnB   157728 159125 ccw
gluQ   159185 160111 ccw
dksA   160148 160603 ccw
sfsA   160781 161485 ccw
ligT   161500 162030 ccw
hrpB   162104 164533 cw
mrcB   164729 167263 cw
fhuA   167483 169726 cw
fhuC   169777 170574 cw
fhuD   170574 171464 cw
fhuB   171461 173443 cw
hemL   173601 174881 ccw
clcA   175106 176527 cw
erpA   176609 176953 cw
yadS   177000 177623 ccw
btuF   177661 178461 ccw
mtn    178454 179152 ccw
dgt    179236 180753 cw
degP   180883 182307 cw
cdaR   182462 183619 cw
yaeH   183708 184094 ccw
yaeI   184256 185068 ccw
dapD   185122 185946 ccw
glnD   185977 188649 ccw
map    188711 189505 ccw
rpsB   189873 190598 cw
tsf    190856 191707 cw
pyrH   191854 192579 cw
frr    192871 193428 cw
dxr    193520 194716 cw
ispU   194902 195663 cw
cdsA   195676 196533 cw
rseP   196545 197897 cw
bamA   197927 200359 cw
skp    200481 200966 cw
lpxD   200970 201995 cw
fabZ   202100 202555 cw
lpxA   202559 203347 cw
lpxB   203347 204495 cw
rnhB   204492 205088 cw
dnaE   205125 208607 cw
accA   208620 209579 cw
ldcC   209678 211819 cw
yaeR   211876 212265 cw
tilS   212330 213628 cw
rof    213677 213931 ccw
yaeP   213924 214124 ccw
yaeQ   214290 214835 cw
yaeJ   214832 215254 cw
nlpE   215268 215978 cw
yaeF   216178 217002 ccw
proS   217056 218774 ccw
yaeB   218886 219593 ccw
rcsF   219590 219994 ccw
metQ   220112 220927 ccw
metI   220967 221620 ccw
metN   221613 222644 ccw
gmhB   222832 223407 cw
dkgB   229166 229969 cw
yafC   229966 230880 ccw
yafD   231121 231921 cw
yafE   231925 232548 cw
mltD   232596 233954 ccw
gloB   234026 234781 ccw
yafS   234815 235537 cw
rnhA   235534 236001 ccw
dnaQ   236066 236797 cw
yafT   237334 238119 cw
ykfM   238256 238735 ccw
yafU   238745 239101 ccw
yafF   239105 239377 cw
yafV   239418 240188 ccw
ivy    240342 240815 cw
fadE   240858 243302 ccw
lpcA   243542 244120 cw
yafJ   244326 245093 cw
yafK   245064 245804 ccw
yafQ   245960 246238 ccw
dinJ   246241 246501 ccw
yafL   246711 247460 cw
rayT   247636 248133 cw
lfhA   248357 250069 ccw
lafU   250071 250826 cw
dinB   250897 251952 cw
yafN   252004 252297 cw
yafO   252300 252698 cw
yafP   252708 253160 cw
ykfJ   253478 253684 cw
prfH   253701 254201 cw
pepD   254258 255715 ccw
gpt    255976 256434 cw
frsA   256526 257770 cw
crl    257828 258229 cw
phoE   258268 259323 ccw
proB   259611 260714 cw
proA   260726 261979 cw
ykfN   262373 262435 ccw
ykfI   262551 262892 ccw
yafW   262913 263230 ccw
ykfH   263249 263470 ccw
ykfG   263479 263955 ccw
yafX   263971 264429 ccw
ykfF   264527 264766 ccw
ykfB   264843 265310 ccw
yafY   265333 265776 ccw
ykfL   265776 265997 ccw
ykfK   265999 266190 ccw
yafZ   266407 267228 ccw
ykfA   267320 268183 ccw
perR   268512 269405 ccw
insN   269501 271412 cw
insI   269826 270977 cw
ykfC   272070 273177 cw
insH   273324 274340 ccw
mmuP   274548 275951 cw
mmuM   275938 276870 cw
afuC   276979 278025 ccw
afuB   278037 278384 ccw
insB   278401 278904 ccw
insA   278823 279098 ccw
insX   279337 279585 ccw
yagB   279650 279958 ccw
yagA   280052 281206 ccw
yagE   281501 282409 cw
yagF   282424 284391 cw
yagG   284618 286000 cw
yagH   286012 287622 cw
yagI   287627 288385 ccw
argF   288524 289528 ccw
ykgS   289652 289856 cw
insB   289872 290375 ccw
insA   290294 290569 ccw
yagJ   290627 291454 cw
yagK   291545 292171 ccw
yagL   292443 293141 ccw
yagM   293168 294022 ccw
yagN   294362 294802 ccw
intF   294919 296319 ccw
yagP   296604 296942 ccw
ykgT   296937 297014 ccw
paoD   296993 297949 ccw
paoC   297959 300157 ccw
paoB   300154 301110 ccw
paoA   301107 301796 ccw
yagU   302214 302828 cw
ykgJ   303076 303405 ccw
yagV   303718 304428 ccw
yagW   304397 306040 ccw
yagX   306030 308555 ccw
matC   308581 309249 ccw
matB   309307 309894 ccw
matA   309969 310559 ccw
ykgL   311335 311562 cw
ykgO   311597 311737 ccw
ykgM   311737 312000 ccw
ykgR   312364 312465 ccw
ykgP   312939 313028 ccw
eaeH   313580 314451 cw
insE   314514 314813 cw
insF   314810 315676 cw
ykgA   315709 316392 ccw
ykgQ   316662 316790 cw
ykgB   316949 317542 ccw
ykgI   317554 317790 ccw
ykgC   317899 319224 ccw
ykgD   319450 320304 cw
ykgE   320831 321550 cw
ykgF   321561 322988 cw
ykgG   322981 323676 cw
ykgH   323919 324587 ccw
betA   324800 326470 ccw
betB   326484 327956 ccw
betI   327970 328557 ccw
betT   328686 330719 cw
yahA   331594 332682 cw
yahB   332724 333656 ccw
yahC   333748 334245 ccw
yahD   334503 335108 cw
yahE   335148 336011 cw
yahF   336001 337548 cw
yahG   337548 338966 cw
yahI   339388 340338 cw
yahJ   340348 341730 cw
yahK   342107 343156 cw
yahL   343399 344214 cw
yahM   344627 344872 cw
yahN   344889 345560 ccw
yahO   345707 345982 cw
prpR   346080 347666 ccw
prpB   347905 348795 cw
prpC   349235 350404 cw
prpD   350438 351889 cw
prpE   351929 353815 cw
codB   354145 355404 cw
codA   355394 356677 cw
cynR   357014 357913 ccw
cynT   358022 358681 cw
cynS   358712 359182 cw
cynX   359215 360369 cw
lacA   360472 361083 ccw
lacY   361149 362402 ccw
lacZ   362454 365528 ccw
lacI   365651 366733 ccw
mhpR   366810 367643 ccw
mhpA   367834 369498 cw
mhpB   369500 370444 cw
mhpC   370447 371328 cw
mhpD   371338 372147 cw
mhpF   372144 373094 cw
mhpE   373091 374104 cw
mhpT   374682 375893 cw
yaiL   375995 376534 cw
frmB   376758 377591 ccw
frmA   377685 378794 ccw
frmR   378829 379104 ccw
yaiO   379292 380065 ccw
yaiX   380067 382095 ccw
insC   380574 380939 cw
insD   380897 381802 cw
yaiP   381962 383158 ccw
yaiS   383282 383839 ccw
tauA   384455 385417 cw
tauB   385430 386197 cw
tauC   386194 387021 cw
tauD   387018 387869 cw
hemB   387976 388950 ccw
yaiT   389474 393641 cw
insF   390962 391828 ccw
insE   391825 392124 ccw
yaiV   393729 394352 cw
ampH   394353 395510 ccw
sbmA   395862 397082 cw
yaiW   397095 398189 cw
yaiY   398248 398556 ccw
yaiZ   398816 399028 cw
ddlA   399052 400146 ccw
iraP   400609 400869 cw
phoA   400970 402385 cw
psiF   402504 402824 cw
adrA   402926 404041 cw
proC   404058 404867 ccw
yaiI   404987 405445 cw
aroL   405628 406152 cw
yaiA   406202 406393 cw
aroM   406651 407328 cw
yaiE   407400 407684 cw
ykiA   407832 408173 cw
rdgC   408331 409242 ccw
mak    409367 410275 cw
araJ   410520 411704 ccw
sbcC   411830 414976 ccw
sbcD   414973 416175 ccw
phoB   416365 417054 cw
phoR   417112 418407 cw
brnQ   418814 420133 cw
proY   420209 421582 cw
malZ   421741 423555 cw
acpH   423560 424141 ccw
queA   424234 425304 cw
tgt    425360 426487 cw
yajC   426510 426842 cw
secD   426870 428717 cw
secF   428728 429699 cw
yajD   429828 430175 cw
tsx    430352 431236 ccw
yajI   431535 432074 ccw
nrdR   432225 432674 cw
ribD   432678 433781 cw
ribE   433870 434340 cw
nusB   434360 434779 cw
thiL   434857 435834 cw
pgpA   435812 436330 cw
yajO   436384 437358 ccw
dxs    437538 439400 ccw
ispA   439425 440324 ccw
xseB   440324 440566 ccw
thiI   440772 442220 cw
yajL   442274 442864 ccw
panE   442827 443738 ccw
yajQ   443906 444397 cw
yajR   444525 445889 ccw
cyoE   446038 446928 ccw
cyoD   446940 447269 ccw
cyoC   447269 447883 ccw
cyoB   447873 449864 ccw
cyoA   449886 450833 ccw
ampG   451293 452768 ccw
yajG   452812 453390 ccw
bolA   453695 454012 cw
tig    454356 455654 cw
clpP   455900 456523 cw
clpX   456649 457923 cw
lon    458111 460465 cw
hupB   460674 460946 cw
ppiD   461138 463009 cw
ybaV   463160 463531 cw
fadM   463625 464023 cw
queC   464075 464770 ccw
ybaE   464835 466535 ccw
cof    466635 467453 cw
ybaO   467606 468064 cw
mdlA   468094 469866 cw
mdlB   469859 471640 cw
glnK   471821 472159 cw
amtB   472189 473475 cw
tesB   473524 474384 ccw
ybaY   474602 475174 cw
ybaZ   475205 475594 ccw
ybaA   475895 476248 cw
ylaB   476290 477840 ccw
ylaC   478004 478474 ccw
maa    478590 479141 ccw
hha    479313 479531 ccw
tomB   479557 479931 ccw
acrB   480477 483626 ccw
acrA   483649 484842 ccw
acrR   484984 485631 cw
kefA   485759 489121 cw
ybaM   489333 489494 ccw
priC   489508 490035 ccw
ybaN   490105 490482 cw
apt    490635 491186 cw
dnaX   491315 493246 cw
ybaB   493299 493628 cw
recR   493628 494233 cw
htpG   494343 496217 cw
adk    496398 497042 cw
hemH   497278 498240 cw
aes    498237 499196 ccw
gsk    499348 500652 cw
ybaL   500785 502461 ccw
fsr    502699 503919 ccw
ushA   504137 505789 cw
ybaK   505826 506305 ccw
ybaP   506509 507303 ccw
ybaQ   507441 507782 cw
copA   508098 510602 ccw
ybaS   510864 511796 cw
ybaT   511799 513091 cw
cueR   513216 513623 cw
ybbJ   513624 514082 ccw
qmcA   514079 514996 ccw
ybbL   515142 515819 cw
ybbM   515806 516585 cw
ybbN   516648 517502 ccw
ybbO   517563 518372 ccw
tesA   518362 518988 ccw
ybbA   518956 519642 cw
ybbP   519639 522053 cw
rhsD   522484 526764 cw
ybbC   526804 527172 cw
ylbH   527175 527882 cw
ybbD   527863 528353 cw
ylbI   528723 528815 cw
ylbG   528818 529239 ccw
selU   529355 530449 ccw
allS   530518 531444 ccw
allA   531674 532156 cw
allR   532234 533049 cw
gcl    533139 534920 cw
hyi    534933 535709 cw
glxR   535809 536687 cw
ybbW   536856 538310 cw
allB   538370 539731 cw
ybbY   539788 541089 cw
glxK   541111 542256 cw
ylbA   542484 543269 ccw
allC   543280 544515 ccw
allD   544537 545586 ccw
fdrA   545903 547570 cw
ylbE   547580 548838 cw
ylbF   548849 549664 cw
ybcF   549661 550554 cw
purK   550749 551816 ccw
purE   551813 552322 ccw
lpxH   552440 553162 ccw
ppiB   553165 553659 ccw
cysS   553833 555218 cw
ybcI   555254 555775 ccw
ybcJ   555883 556095 ccw
folD   556097 556963 ccw
sfmA   557434 557976 cw
sfmC   558196 558888 cw
sfmD   558919 561522 cw
sfmH   561558 562541 cw
sfmF   562552 563067 cw
fimZ   563070 563702 ccw
intD   564037 565200 ccw
xisD   565080 565301 ccw
exoD   565320 565598 ccw
peaD   565598 565909 cw
renD   565906 567469 cw
insE   566064 566363 cw
insF   566360 567226 cw
emrE   567537 567869 cw
ybcK   568124 569650 cw
ybcL   570115 570666 cw
ybcM   570676 571473 cw
ylcH   571590 571691 cw
ybcN   571688 572143 cw
ninE   572143 572313 cw
ybcO   572306 572596 cw
rusA   572593 572955 cw
ylcG   572952 573092 cw
quuD   573178 573561 cw
nmpC   573751 576047 ccw
insH   573959 574975 ccw
essD   576620 576835 cw
rrrD   576835 577332 cw
rzpD   577329 577790 cw
rzoD   577549 577731 cw
borD   577822 578115 ccw
ybcV   578406 578816 ccw
ybcW   579102 579308 cw
ylcI   579473 579667 ccw
nohD   580056 580601 cw
aaaD   580576 580884 cw
tfaD   580882 581319 cw
ybcY   581374 582028 ccw
tfaX   582175 582357 cw
appY   582903 583652 cw
ompT   583902 584855 ccw
envY   585369 586130 ccw
ybcH   586313 587203 ccw
nfrA   587204 590176 ccw
nfrB   590163 592400 ccw
cusS   592550 593992 ccw
cusR   593982 594665 ccw
cusC   594822 596195 cw
cusF   596353 596685 cw
cusB   596701 597924 cw
cusA   597936 601079 cw
pheP   601181 602557 cw
mscM   602638 603885 ccw
nfsB   603993 604646 ccw
ybdF   604740 605108 ccw
ybdJ   605173 605421 ccw
ybdK   605487 606605 ccw
hokE   607058 607210 cw
insL   607287 608399 cw
entD   608681 609301 ccw
fepA   609476 611716 ccw
fes    612037 613161 cw
ybdZ   613164 613382 cw
entF   613379 617260 cw
fepE   617476 618609 cw
fepC   618606 619421 ccw
fepG   619418 620410 ccw
fepD   620407 621411 ccw
entS   621522 622772 cw
fepB   622776 623732 ccw
entC   624107 625282 cw
entE   625292 626902 cw
entB   626916 627773 cw
entA   627773 628519 cw
entH   628522 628935 cw
cstA   629116 631221 cw
ybdD   631404 631601 cw
ybdH   631611 632699 ccw
ybdL   632808 633968 cw
ybdM   633969 634598 ccw
ybdN   634571 635791 ccw
ybdO   635938 636840 ccw
dsbG   637049 637795 ccw
ahpC   638167 638730 cw
ahpF   638975 640540 cw
uspG   640661 641089 ccw
ybdR   641310 642548 cw
rnk    642779 643189 ccw
rna    643419 644225 ccw
citT   644339 645802 ccw
citG   645853 646731 ccw
citX   646706 647257 ccw
citF   647261 648793 ccw
citE   648804 649712 ccw
citD   649709 650005 ccw
citC   650020 651078 ccw
dpiB   651457 653115 cw
dpiA   653084 653764 cw
dcuC   653805 655190 ccw
pagP   655779 656339 cw
cspE   656514 656723 cw
crcB   656777 657160 ccw
ybeM   657253 658040 cw
tatE   658169 658372 cw
lipA   658473 659438 ccw
ybeF   659647 660600 ccw
lipB   660859 661500 ccw
ybeD   661601 661864 ccw
dacA   661974 663185 ccw
rlpA   663324 664412 ccw
mrdB   664423 665535 ccw
mrdA   665538 667439 ccw
rlmH   667470 667937 ccw
ybeB   667941 668258 ccw
cobC   668518 669129 ccw
nadD   669153 669794 ccw
holA   669796 670827 ccw
lptE   670827 671408 ccw
leuS   671423 674005 ccw
ybeL   674240 674722 cw
ybeQ   674792 675769 ccw
ybeR   675933 676640 cw
djlB   676637 678064 cw
ybeT   678074 678628 ccw
ybeU   678730 679437 cw
djlC   679434 680885 cw
hscC   680945 682615 ccw
rihA   682699 683634 ccw
gltL   683752 684477 ccw
gltK   684477 685151 ccw
gltJ   685151 685891 ccw
gltI   686061 686969 ccw
insH   687219 688235 ccw
lnt    688565 690103 ccw
ybeX   690128 691006 ccw
ybeY   691096 691563 ccw
ybeZ   691560 692600 ccw
miaB   692753 694177 ccw
ubiF   694323 695498 cw
asnB   696735 698399 ccw
nagD   698796 699548 ccw
nagC   699596 700816 ccw
nagA   700825 701973 ccw
nagB   702033 702833 ccw
nagE   703166 705112 cw
glnS   705315 706979 cw
chiP   707556 708962 cw
chiQ   709012 709338 cw
fur    709422 709868 ccw
uof    709861 709947 ccw
fldA   710157 710687 ccw
ybfE   710827 711120 ccw
ybfF   711260 712024 ccw
seqA   712209 712754 cw
pgm    712780 714420 cw
ybfP   714634 715128 cw
ybfG   715169 715819 ccw
ybfI   715943 716092 ccw
potE   716168 717487 ccw
speF   717484 719682 ccw
ybfK   719805 720062 cw
kdpE   720278 720955 ccw
kdpD   720952 723636 ccw
kdpC   723629 724201 ccw
kdpB   724210 726258 ccw
kdpA   726281 727954 ccw
kdpF   727954 728043 ccw
ybfA   728356 728562 cw
rhsC   728805 732998 cw
ybfB   732998 733324 cw
ybfO   733355 734875 cw
ybfC   734872 735441 cw
ybfQ   735667 735906 cw
ybfL   736047 737183 cw
ybfD   737314 738075 cw
ybgA   738223 738732 cw
phr    738729 740147 cw
dtpD   740297 741778 ccw
ybgI   742049 742792 cw
ybgJ   742815 743471 cw
ybgK   743465 744397 cw
ybgL   744387 745121 cw
nei    745157 745948 cw
abrB   745945 746991 ccw
ybgO   747143 748204 ccw
ybgP   748201 748929 ccw
ybgQ   748944 751391 ccw
ybgD   751451 752017 ccw
gltA   752407 753690 ccw
sdhC   754399 754788 cw
sdhD   754782 755129 cw
sdhA   755129 756895 cw
sdhB   756911 757627 cw
sucA   757928 760729 cw
sucB   760744 761961 cw
sucC   762236 763402 cw
sucD   763402 764271 cw
mngR   764375 765097 ccw
mngA   765206 767182 cw
mngB   767200 769833 cw
cydA   770680 772248 cw
cydB   772264 773403 cw
ybgT   773418 773531 cw
ybgE   773531 773824 cw
ybgC   773974 774378 cw
tolQ   774375 775067 cw
tolR   775071 775499 cw
tolA   775564 776829 cw
tolB   776962 778254 cw
pal    778289 778810 cw
ybgF   778820 779611 cw
nadA   781307 782350 cw
pnuC   782388 783107 cw
zitB   783104 784045 ccw
ybgS   784159 784539 ccw
aroG   784855 785907 cw
gpmA   786065 786817 ccw
galM   787019 788059 ccw
galK   788053 789201 ccw
galT   789205 790251 ccw
galE   790261 791277 ccw
modF   791538 793010 ccw
modE   793078 793866 ccw
ybhT   793995 794144 cw
modA   794311 795084 cw
modB   795084 795773 cw
modC   795776 796834 cw
ybhA   796835 797653 ccw
pgl    797808 798803 cw
ybhD   798844 799797 ccw
ybhH   799981 801033 cw
ybhI   801109 802542 cw
ybhJ   802725 804986 cw
ybhC   805220 806503 ccw
ybhB   806655 807131 ccw
bioA   807190 808479 ccw
bioB   808566 809606 cw
bioF   809603 810757 cw
bioC   810744 811499 cw
bioD   811492 812169 cw
uvrB   812748 814769 cw
ybhK   814961 815869 ccw
moaA   816266 817255 cw
moaB   817277 817789 cw
moaC   817792 818277 cw
moaD   818270 818515 cw
moaE   818517 818969 cw
ybhL   819106 819810 cw
ybhM   820015 820728 cw
ybhN   820764 821720 ccw
ybhO   821720 822961 ccw
ybhP   822958 823719 ccw
ybhQ   823852 824262 cw
ybhR   824224 825330 ccw
ybhS   825341 826474 ccw
ybhF   826467 828203 ccw
ybhG   828196 829194 ccw
ybiH   829194 829865 ccw
rhlE   830094 831458 cw
ybiA   831690 832172 ccw
dinG   832292 834442 cw
ybiB   834470 835432 cw
ybiC   835573 836658 cw
ybiJ   836887 837147 ccw
ybiI   837412 837678 ccw
ybiX   837752 838429 ccw
fiu    838471 840753 ccw
mcbA   841018 841278 ccw
rlmF   841554 842480 cw
ybiO   842477 844702 ccw
glnQ   844963 845685 ccw
glnP   845682 846341 ccw
glnH   846480 847226 ccw
dps    847630 848133 ccw
rhtA   848432 849319 ccw
ompX   849672 850187 cw
ybiP   850236 851819 ccw
yliL   851893 852162 cw
mntR   852405 852872 cw
ybiR   852869 853987 cw
ybiS   854046 854966 ccw
ybiT   855185 856777 cw
ybiU   857018 858283 ccw
ybiV   858435 859250 ccw
ybiW   859396 861828 ccw
ybiY   861834 862733 ccw
fsaA   862864 863526 cw
moeB   863602 864351 ccw
moeA   864351 865586 ccw
iaaA   865790 866755 cw
gsiA   866742 868613 cw
gsiB   868633 870171 cw
gsiC   870189 871109 cw
gsiD   871112 872023 cw
yliE   872201 874549 cw
yliF   874557 875885 cw
rimO   875932 877257 ccw
bssR   877470 877853 cw
yliI   877964 879079 cw
gstB   879076 879702 ccw
dacC   879949 881151 cw
deoR   881198 881956 ccw
ybjG   882014 882610 ccw
mdfA   882895 884127 cw
ybjH   884168 884452 ccw
ybjI   884538 885353 ccw
ybjJ   885353 886561 ccw
ybjK   886645 887181 cw
ybjL   887356 889041 ccw
ybjM   889311 889688 cw
grxA   889718 889975 ccw
ybjC   890135 890422 cw
nfsA   890406 891128 cw
rimK   891189 892091 cw
ybjN   892179 892655 cw
potF   893006 894118 cw
potG   894213 895346 cw
potH   895356 896309 cw
potI   896306 897151 cw
ybjO   897211 897699 cw
rlmD   897740 898867 cw
artJ   899066 899797 ccw
artM   900088 900756 ccw
artQ   900756 901472 ccw
artI   901479 902210 ccw
artP   902228 902956 ccw
ybjP   903174 903689 ccw
ybjQ   903815 904138 cw
amiD   904135 904965 cw
ybjS   904962 905975 ccw
ybjT   906074 907504 ccw
ltaE   907515 908516 ccw
poxB   908553 910271 ccw
hcr    910404 911372 ccw
hcp    911384 913036 ccw
ybjE   913180 914079 ccw
aqpZ   914574 915269 ccw
ybjD   915695 917353 cw
ybjX   917350 918342 ccw
macA   918457 919572 cw
macB   919569 921515 cw
cspD   921588 921812 ccw
clpS   922135 922455 cw
clpA   922486 924762 cw
infA   925447 925665 ccw
aat    925950 926654 ccw
cydC   926696 928417 ccw
cydD   928418 930184 ccw
trxB   930307 931272 ccw
lrp    931817 932311 cw
ftsK   932446 936435 cw
lolA   936594 937205 cw
rarA   937216 938559 cw
serS   938650 939942 cw
dmsA   940181 942625 cw
dmsB   942636 943253 cw
dmsC   943255 944118 cw
ycaC   944153 944779 ccw
ycaD   945093 946241 cw
ycaM   946451 947881 cw
ycaN   947882 948790 ccw
ycaK   948890 949480 cw
pflA   949562 950302 ccw
pflB   950494 952776 ccw
focA   952831 953688 ccw
ycaO   954094 955854 ccw
ycaP   955984 956676 cw
serC   956875 957963 cw
aroA   958034 959317 cw
ycaL   959486 960250 cw
cmk    960423 961106 cw
rpsA   961217 962890 cw
ihfB   963050 963334 cw
ycaI   963542 965806 cw
msbA   965843 967591 cw
lpxK   967588 968574 cw
ycaQ   968611 969843 cw
ycaR   969895 970077 cw
kdsB   970074 970820 cw
ycbJ   970974 971867 cw
ycbC   971844 972623 ccw
smtA   972759 973544 cw
mukF   973541 974863 cw
mukE   974844 975548 cw
mukB   975548 980008 cw
ycbB   980269 982116 cw
ycbK   982297 982845 cw
ycbL   982872 983519 cw
aspC   983741 984931 ccw
ompF   985116 986204 ccw
asnS   986807 988207 ccw
pncB   988376 989578 ccw
pepN   989844 992456 cw
ssuB   992499 993266 ccw
ssuC   993263 994054 ccw
ssuD   994065 995210 ccw
ssuA   995207 996166 ccw
ssuE   996159 996734 ccw
elfA   997090 997629 cw
elfD   997712 998413 cw
elfC   998438 1001038 cw
elfG   1001029 1002099 cw
ycbU   1002111 1002653 cw
ycbV   1002661 1003176 cw
ycbF   1003169 1003879 cw
pyrD   1003990 1005000 cw
zapC   1005174 1005716 cw
ycbX   1005713 1006822 ccw
rlmL   1007066 1009174 cw
uup    1009186 1011093 cw
pqiA   1011223 1012476 cw
pqiB   1012481 1014121 cw
ymbA   1014118 1014681 cw
rmf    1014937 1015104 cw
fabA   1015174 1015692 ccw
ycbZ   1015761 1017521 ccw
matP   1017707 1018159 cw
ompA   1018235 1019275 ccw
sulA   1019632 1020141 ccw
sxy    1020360 1020989 cw
yccS   1020952 1023105 ccw
yccF   1023124 1023570 ccw
helD   1023693 1025747 cw
mgsA   1025779 1026237 ccw
yccT   1026333 1026995 ccw
yccU   1027168 1027581 cw
hspQ   1027626 1027943 ccw
rlmI   1028001 1029191 ccw
yccX   1029286 1029564 cw
tusE   1029561 1029890 ccw
yccA   1029981 1030640 ccw
hyaA   1031361 1032479 cw
hyaB   1032476 1034269 cw
hyaC   1034288 1034995 cw
hyaD   1034992 1035579 cw
hyaE   1035576 1035974 cw
hyaF   1035971 1036828 cw
appC   1036962 1038506 cw
appB   1038518 1039654 cw
yccB   1039667 1039759 cw
appA   1039839 1041137 cw
etk    1041252 1043432 ccw
etp    1043452 1043898 ccw
gfcE   1043886 1045025 ccw
gfcD   1045071 1047167 ccw
gfcC   1047167 1047913 ccw
gfcB   1047910 1048554 ccw
gfcA   1048661 1048966 ccw
insA   1049055 1049330 cw
insB   1049249 1049752 cw
cspH   1050185 1050397 ccw
cspG   1050683 1050895 cw
ymcE   1051069 1051299 cw
gnsA   1051289 1051462 cw
yccM   1051511 1052584 ccw
torS   1052656 1055400 ccw
torT   1055483 1056511 cw
torR   1056484 1057176 ccw
torC   1057306 1058478 cw
torA   1058478 1061024 cw
torD   1061021 1061620 cw
cbpM   1061772 1062077 ccw
cbpA   1062077 1062997 ccw
yccE   1063258 1064514 cw
agp    1064807 1066048 cw
yccJ   1066086 1066313 ccw
wrbA   1066334 1066930 ccw
ymdF   1067303 1067476 cw
rutG   1067733 1069061 ccw
rutF   1069082 1069576 ccw
rutE   1069587 1070177 ccw
rutD   1070187 1070987 ccw
rutC   1070995 1071381 ccw
rutB   1071393 1072085 ccw
rutA   1072085 1073233 ccw
rutR   1073464 1074102 cw
putA   1074142 1078104 ccw
putP   1078527 1080035 cw
efeU   1080578 1081407 cw
efeO   1081465 1082592 cw
efeB   1082598 1083869 cw
phoH   1084214 1085278 cw
pgaD   1085328 1085741 ccw
pgaC   1085743 1087068 ccw
pgaB   1087061 1089079 ccw
pgaA   1089088 1091511 ccw
